cabin_number,category_code,is_virtual_balcony,is_promenade_view,is_misclassified
3149,2U,true,false,false
3549,2U,true,false,false
6230,2W,false,false,false
6630,2W,false,false,false
7119,4U,true,false,false
7121,4U,true,false,false
7123,4U,true,false,false
7125,4U,true,false,false
7127,4U,true,false,false
7129,4U,true,false,false
7131,4U,true,false,false
7133,4U,true,false,false
7135,2U,true,false,false
7137,2U,true,false,false
7139,2U,true,false,false
7141,2U,true,false,false
7143,2U,true,false,false
7230,2W,false,false,false
7290,4C,false,false,true
7312,4U,true,false,false
7314,3U,true,false,false
7315,4U,true,false,false
7316,4U,true,false,false
7318,3U,true,false,false
7513,4U,true,false,false
7515,4U,true,false,false
7517,4U,true,false,false
7519,4U,true,false,false
7521,4U,true,false,false
7523,4U,true,false,false
7525,4U,true,false,false
7527,4U,true,false,false
7529,4U,true,false,false
7531,4U,true,false,false
7533,4U,true,false,false
7535,2U,true,false,false
7537,2U,true,false,false
7539,2U,true,false,false
7541,2U,true,false,false
7543,2U,true,false,false
7545,2U,true,false,false
7630,2W,false,false,false
7690,4C,false,false,true
7709,4U,true,false,false
7711,4U,true,false,false
7712,3U,true,false,false
7713,4U,true,false,false
7714,4U,true,false,false
7715,4U,true,false,false
7716,3U,true,false,false
7717,4U,true,false,false
7718,4U,true,false,false
8119,4U,true,false,false
8121,4U,true,false,false
8123,4U,true,false,false
8125,4U,true,false,false
8127,4U,true,false,false
8129,4U,true,false,false
8131,4U,true,false,false
8133,4U,true,false,false
8135,2U,true,false,false
8137,2U,true,false,false
8139,2U,true,false,false
8141,2U,true,false,false
8173,2U,true,false,false
8175,1U,true,false,false
8177,2U,true,false,false
8179,1U,true,false,false
8181,2U,true,false,false
8183,1U,true,false,false
8185,2U,true,false,false
8187,2U,true,false,false
8230,2W,false,false,false
8261,2U,true,false,false
8263,1U,true,false,false
8265,2U,true,false,false
8267,1U,true,false,false
8269,2U,true,false,false
8271,1U,true,false,false
8273,4U,true,false,false
8275,3U,true,false,false
8277,4U,true,false,false
8279,4U,true,false,false
8303,4U,true,false,false
8305,3U,true,false,false
8307,4U,true,false,false
8309,3U,true,false,false
8311,4U,true,false,false
8313,4U,true,false,false
8511,4U,true,false,false
8513,4U,true,false,false
8515,4U,true,false,false
8517,4U,true,false,false
8519,4U,true,false,false
