cabin_number,category_code,is_virtual_balcony,is_promenade_view,is_misclassified
3800,2V,false,false,false
3801,1V,false,false,false
3802,2V,false,false,false
3803,1V,false,false,false
3805,1V,false,false,false
3806,1R,false,false,false
3807,2V,false,false,false
3808,3V,false,false,false
3809,2V,false,false,false
3810,3V,false,false,false
3811,1V,false,false,false
3812,3V,false,false,false
3813,2V,false,false,false
3814,3V,false,false,false
3815,1V,false,false,false
3816,3V,false,false,false
3817,2V,false,false,false
3818,2V,false,false,false
3819,1V,false,false,false
3820,2V,false,false,false
3821,2V,false,false,false
3822,2V,false,false,false
3823,1V,false,false,false
3824,1V,false,false,false
3825,2V,false,false,false
3826,2V,false,false,false
3827,1V,false,false,false
3828,1V,false,false,false
3829,2V,false,false,false
3830,1V,false,false,false
3832,2V,false,false,false
3834,2V,false,false,false
3836,2V,false,false,false
3837,1V,false,false,false
3838,1V,false,false,false
3839,2V,false,false,false
3840,2V,false,false,false
3841,1V,false,false,false
3842,1V,false,false,false
3843,2V,false,false,false
3844,2V,false,false,false
3846,1V,false,false,false
3848,2V,false,false,false
3850,2V,false,false,false
3852,2V,false,false,false
3854,1V,false,false,false
3856,2V,false,false,false
3858,2V,false,false,false
3860,1V,false,false,false
6131,6V,false,false,true
6135,6V,false,false,true
6137,6V,false,false,true
6139,6V,false,false,true
6141,6V,false,false,true
6143,3V,false,false,false
6147,3V,false,false,false
6149,6V,false,false,true
6153,6V,false,false,true
6185,1V,false,false,false
6189,1V,false,false,false
6191,2V,false,false,false
6193,1V,false,false,false
6279,6V,false,false,true
6281,6V,false,false,true
6531,6V,false,false,true
6533,3V,false,false,false
6535,3V,false,false,false
6537,6V,false,false,true
6539,3V,false,false,false
6541,6V,false,false,true
6543,3V,false,false,false
6545,6V,false,false,true
6547,6V,false,false,true
6549,6V,false,false,true
6551,3V,false,false,false
6553,6V,false,false,true
6585,2V,false,false,false
6587,2V,false,false,false
6589,2V,false,false,false
6591,2V,false,false,false
6593,2V,false,false,false
6595,2V,false,false,false
6597,1V,false,false,false
6599,2V,false,false,false
6601,1V,false,false,false
6603,2V,false,false,false
6605,1V,false,false,false
6679,6V,false,false,true
6681,6V,false,false,true
7101,6V,false,false,true
7112,2T,false,true,false
7114,2T,false,true,false
7117,6V,false,false,true
7131,6V,false,false,true
7133,6V,false,false,true
7135,6V,false,false,true
7137,6V,false,false,true
7139,6V,false,false,true
7141,6V,false,false,true
7143,6V,false,false,true
7145,6V,false,false,true
7147,3V,false,false,false
7149,6V,false,false,true
7151,3V,false,false,false
7153,6V,false,false,true
7185,2T,false,true,false
7187,2T,false,true,false
7189,2T,false,true,false
7191,2T,false,true,false
7193,1V,false,false,false
7195,2V,false,false,false
7197,2T,false,true,false
7199,2T,false,true,false
7201,2T,false,true,false
7203,2T,false,true,false
7205,2T,false,true,false
7273,6V,false,false,true
7275,6V,false,false,true
7277,6V,false,false,true
7279,6V,false,false,true
7281,6V,false,false,true
7319,2T,false,true,false
7321,2T,false,true,false
7323,2T,false,true,false
7325,2T,false,true,false
7400,6V,false,false,true
7402,6V,false,false,true
7404,6V,false,false,true
7405,6V,false,false,true
7406,6V,false,false,true
7407,6V,false,false,true
7408,6V,false,false,true
7409,6V,false,false,true
7410,6V,false,false,true
7411,6V,false,false,true
7412,6V,false,false,true
7413,6V,false,false,true
7414,6V,false,false,true
7415,6V,false,false,true
7416,6V,false,false,true
7418,6V,false,false,true
7420,6V,false,false,true
7422,6V,false,false,true
7423,3V,false,false,false
7424,6V,false,false,true
7425,6V,false,false,true
7427,3V,false,false,false
7429,6V,false,false,true
7430,6V,false,false,true
7431,3V,false,false,false
7432,6V,false,false,true
7433,6V,false,false,true
7434,6V,false,false,true
7435,3V,false,false,false
7436,3V,false,false,false
7437,6V,false,false,true
7438,6V,false,false,true
7439,3V,false,false,false
7440,3V,false,false,false
7441,6V,false,false,true
7442,6V,false,false,true
7443,3V,false,false,false
7444,3V,false,false,false
7445,6V,false,false,true
7446,6V,false,false,true
7448,3V,false,false,false
7450,6V,false,false,true
7452,3V,false,false,false
7454,6V,false,false,true
7456,3V,false,false,false
7458,FETCH_ERROR,false,false,unknown
7501,6V,false,false,true
7512,6V,false,false,true
7514,6V,false,false,true
7517,6V,false,false,true
7525,4V,false,false,false
7529,4V,false,false,false
7531,6V,false,false,true
7533,6V,false,false,true
7535,6V,false,false,true
7537,6V,false,false,true
7539,6V,false,false,true
7541,6V,false,false,true
7543,6V,false,false,true
7545,3V,false,false,false
7547,6V,false,false,true
7549,3V,false,false,false
7551,6V,false,false,true
7553,3V,false,false,false
7585,2T,false,true,false
7587,2T,false,true,false
7589,2T,false,true,false
7591,2T,false,true,false
7593,2V,false,false,false
7595,1V,false,false,false
7597,2T,false,true,false
7599,2T,false,true,false
7601,2T,false,true,false
7603,2T,false,true,false
7605,FETCH_ERROR,false,false,unknown
7673,6V,false,false,true
7675,6V,false,false,true
7677,6V,false,false,true
7679,6V,false,false,true
7681,6V,false,false,true
7717,2T,false,true,false
7719,2T,false,true,false
7721,2T,false,true,false
7723,2T,false,true,false
8101,6V,false,false,true
8116,6V,false,false,true
8118,4D,false,false,true
8131,6V,false,false,true
8133,6V,false,false,true
8135,6V,false,false,true
8137,6V,false,false,true
8139,6V,false,false,true
8141,6V,false,false,true
8143,6V,false,false,true
8145,6V,false,false,true
8147,6V,false,false,true
8149,6V,false,false,true
8151,6V,false,false,true
8153,6V,false,false,true
8272,7D,false,false,true
8276,7D,false,false,true
8279,6V,false,false,true
8280,7D,false,false,true
8284,7D,false,false,true
