cabin_number,category_code,is_virtual_balcony,is_promenade_view,is_misclassified
3149,2V,false,false,false
3549,2V,false,false,false
6230,2W,false,false,false
6630,2W,false,false,false
7119,4V,false,false,false
7121,4V,false,false,false
7123,4V,false,false,false
7125,4V,false,false,false
7127,4V,false,false,false
7129,4V,false,false,false
7131,4V,false,false,false
7133,2V,false,false,false
7135,2V,false,false,false
7137,2V,false,false,false
7139,2V,false,false,false
7141,2V,false,false,false
7143,2V,false,false,false
7230,2W,false,false,false
7312,2D,false,false,true
7314,3V,false,false,false
7315,4V,false,false,false
7316,2D,false,false,true
7317,4V,false,false,false
7318,3V,false,false,false
7319,4V,false,false,false
7513,4V,false,false,false
7515,4V,false,false,false
7517,4V,false,false,false
7519,4V,false,false,false
7521,4V,false,false,false
7523,4V,false,false,false
7525,4V,false,false,false
7527,4V,false,false,false
7529,4V,false,false,false
7531,4V,false,false,false
7533,2V,false,false,false
7535,2V,false,false,false
7537,2V,false,false,false
7539,2V,false,false,false
7541,2V,false,false,false
7543,2V,false,false,false
7545,2V,false,false,false
7630,2W,false,false,false
7709,4V,false,false,false
7711,4V,false,false,false
7712,3V,false,false,false
7713,4V,false,false,false
7714,2D,false,false,true
7715,4V,false,false,false
7716,3V,false,false,false
7717,4V,false,false,false
7718,2D,false,false,true
8119,4V,false,false,false
8121,4V,false,false,false
8123,4V,false,false,false
8125,4V,false,false,false
8127,4V,false,false,false
8129,4V,false,false,false
8131,4V,false,false,false
8133,2V,false,false,false
8135,2V,false,false,false
8137,2V,false,false,false
8139,2V,false,false,false
8141,2V,false,false,false
8172,3D,false,false,true
8173,2V,false,false,false
8175,1V,false,false,false
8177,2V,false,false,false
8179,1V,false,false,false
8181,2V,false,false,false
8183,1V,false,false,false
8185,2V,false,false,false
8187,2V,false,false,false
8230,2W,false,false,false
8261,2V,false,false,false
8263,1V,false,false,false
8265,2V,false,false,false
8267,1V,false,false,false
8269,2V,false,false,false
8271,3V,false,false,false
8273,4V,false,false,false
8275,3V,false,false,false
8277,4V,false,false,false
8279,4V,false,false,false
8303,4V,false,false,false
8305,3V,false,false,false
8307,4V,false,false,false
8309,3V,false,false,false
8311,4V,false,false,false
8313,4V,false,false,false
8511,4V,false,false,false
8513,4V,false,false,false
8515,4V,false,false,false
8517,4V,false,false,false
8519,4V,false,false,false
8521,4V,false,false,false
8523,4V,false,false,false
8525,4V,false,false,false
8527,4V,false,false,false
8529,4V,false,false,false
8531,4V,false,false,false
8533,2V,false,false,false
8535,2V,false,false,false
8537,2V,false,false,false
8539,2V,false,false,false
8541,2V,false,false,false
8630,2W,false,false,false
8703,3V,false,false,false
8705,4V,false,false,false
8707,3V,false,false,false
8709,4V,false,false,false
8711,4V,false,false,false
8713,4V,false,false,false
9121,4V,false,false,false
9123,4V,false,false,false
9125,4V,false,false,false
9127,4V,false,false,false
9129,4V,false,false,false
9131,4V,false,false,false
9133,2V,false,false,false
9135,2V,false,false,false
9137,2V,false,false,false
9139,2V,false,false,false
9141,2V,false,false,false
9171,1U,true,false,false
9173,2V,false,false,false
9175,1U,true,false,false
9177,2U,true,false,false
9179,1U,true,false,false
9181,2U,true,false,false
9183,1U,true,false,false
9185,2U,true,false,false
9187,2V,false,false,false
9225,2V,false,false,false
9227,1V,false,false,false
9229,2V,false,false,false
9230,2W,false,false,false
9231,1V,false,false,false
9233,2V,false,false,false
9261,2V,false,false,false
9263,1U,true,false,false
9265,2U,true,false,false
9267,1U,true,false,false
9269,2U,true,false,false
9271,1U,true,false,false
9273,4U,true,false,false
9275,3U,true,false,false
9277,4U,true,false,false
9279,3U,true,false,false
9281,4U,true,false,false
9283,3U,true,false,false
9301,4V,false,false,false
9303,4V,false,false,false
9309,4V,false,false,false
9311,4V,false,false,false
9315,4V,false,false,false
9317,4V,false,false,false
9513,4V,false,false,false
9515,4V,false,false,false
9517,4V,false,false,false
9519,4V,false,false,false
9521,4V,false,false,false
9523,4V,false,false,false
9525,4V,false,false,false
9527,4V,false,false,false
9529,4V,false,false,false
9531,4V,false,false,false
9533,2V,false,false,false
9535,2V,false,false,false
9537,2V,false,false,false
9539,2V,false,false,false
9541,2V,false,false,false
9543,2V,false,false,false
9630,2W,false,false,false
9633,2V,false,false,false
9701,4V,false,false,false
9703,4V,false,false,false
9709,4V,false,false,false
9711,4V,false,false,false
9715,4V,false,false,false
9717,4V,false,false,false
10121,4V,false,false,false
10123,4V,false,false,false
10125,4V,false,false,false
10127,4V,false,false,false
10129,4V,false,false,false
10131,4V,false,false,false
10133,2V,false,false,false
10135,2V,false,false,false
10137,2V,false,false,false
10139,2V,false,false,false
10141,2V,false,false,false
10143,2V,false,false,false
10171,1U,true,false,false
10173,2V,false,false,false
10175,1U,true,false,false
10177,2U,true,false,false
10179,1U,true,false,false
10181,2U,true,false,false
10183,1U,true,false,false
10185,2U,true,false,false
10187,2V,false,false,false
10205,1U,true,false,false
10207,2U,true,false,false
10209,1U,true,false,false
10211,2U,true,false,false
10213,1U,true,false,false
10215,2U,true,false,false
10217,1U,true,false,false
10221,1U,true,false,false
10223,2U,true,false,false
10225,2V,false,false,false
10227,1V,false,false,false
10229,2V,false,false,false
10230,2W,false,false,false
10231,1V,false,false,false
10233,2V,false,false,false
10261,2U,true,false,false
10263,1U,true,false,false
10265,2U,true,false,false
10267,1U,true,false,false
10269,2U,true,false,false
10271,1U,true,false,false
10273,4U,true,false,false
10275,3U,true,false,false
10277,4U,true,false,false
10279,4V,false,false,false
10281,3U,true,false,false
10303,4V,false,false,false
10305,3V,false,false,false
10307,4V,false,false,false
10309,3V,false,false,false
10311,4V,false,false,false
10313,4V,false,false,false
10517,4V,false,false,false
10519,4V,false,false,false
10521,4V,false,false,false
10523,4V,false,false,false
10525,4V,false,false,false
10527,4V,false,false,false
10529,4V,false,false,false
10531,4V,false,false,false
10533,2V,false,false,false
10535,2V,false,false,false
10537,2V,false,false,false
10539,2V,false,false,false
10541,2V,false,false,false
10543,2V,false,false,false
10545,2V,false,false,false
10630,2W,false,false,false
10633,2V,false,false,false
10703,3V,false,false,false
10705,4V,false,false,false
10707,3V,false,false,false
10709,4V,false,false,false
10711,4V,false,false,false
10713,4V,false,false,false
11121,4V,false,false,false
