cabin_number,category_code,is_virtual_balcony,is_promenade_view,is_misclassified
3231,2V,false,false,false
3233,2V,false,false,false
3235,2V,false,false,false
6135,4U,true,false,false
6137,4V,false,false,false
6139,4U,true,false,false
6141,4V,false,false,false
6143,4V,false,false,false
6147,4U,true,false,false
6149,4U,true,false,false
6153,4V,false,false,false
6185,3V,false,false,false
6189,3V,false,false,false
6191,1V,false,false,false
6193,1V,false,false,false
6277,4V,false,false,false
6535,4V,false,false,false
6537,4U,true,false,false
6539,4V,false,false,false
6541,4U,true,false,false
6543,4V,false,false,false
6545,4U,true,false,false
6547,4V,false,false,false
6549,4U,true,false,false
6551,4V,false,false,false
6553,4U,true,false,false
6585,1V,false,false,false
6587,1V,false,false,false
6589,1V,false,false,false
6591,1V,false,false,false
6593,1V,false,false,false
6595,1V,false,false,false
6597,1V,false,false,false
6599,1V,false,false,false
6601,1V,false,false,false
6603,1V,false,false,false
6605,1V,false,false,false
6627,3V,false,false,false
6629,3V,false,false,false
6631,3V,false,false,false
6633,3V,false,false,false
6635,3V,false,false,false
6637,3V,false,false,false
6639,3V,false,false,false
6641,3V,false,false,false
6643,3V,false,false,false
6677,4V,false,false,false
7101,4U,true,false,false
7103,4U,true,false,false
7110,4V,false,false,false
7112,4V,false,false,false
7115,4V,false,false,false
7117,4V,false,false,false
7119,4V,false,false,false
7121,4V,false,false,false
7123,4V,false,false,false
7131,4V,false,false,false
7133,4V,false,false,false
7135,4V,false,false,false
7137,4V,false,false,false
7139,4V,false,false,false
7141,4V,false,false,false
7143,4V,false,false,false
7145,4V,false,false,false
7147,4V,false,false,false
7149,4V,false,false,false
7151,4V,false,false,false
7153,4V,false,false,false
7185,2T,false,true,false
7187,2T,false,true,false
7189,2T,false,true,false
7191,2T,false,true,false
7193,1V,false,false,false
7195,1V,false,false,false
7197,2T,false,true,false
7199,2T,false,true,false
7201,2T,false,true,false
7203,2T,false,true,false
7205,2T,false,true,false
7271,4V,false,false,false
7273,4V,false,false,false
7275,4V,false,false,false
7277,4V,false,false,false
7319,2T,false,true,false
7321,2T,false,true,false
7323,2T,false,true,false
7325,2T,false,true,false
7402,4U,true,false,false
7403,4V,false,false,false
7404,4V,false,false,false
7405,4V,false,false,false
7406,4V,false,false,false
7407,4V,false,false,false
7408,4U,true,false,false
7409,4V,false,false,false
7410,4V,false,false,false
7411,4V,false,false,false
7412,4U,true,false,false
7413,4V,false,false,false
7414,4V,false,false,false
7430,4V,false,false,false
7431,4V,false,false,false
7432,CI,false,false,false
7433,CI,false,false,false
7434,CI,false,false,false
7435,CI,false,false,false
7436,CI,false,false,false
7437,CI,false,false,false
7438,CI,false,false,false
7439,CI,false,false,false
7440,CI,false,false,false
7441,CI,false,false,false
7442,CI,false,false,false
7443,CI,false,false,false
7444,CI,false,false,false
7445,CI,false,false,false
7446,CI,false,false,false
7447,CI,false,false,false
7448,4V,false,false,false
7449,4V,false,false,false
7450,4U,true,false,false
7452,4V,false,false,false
7453,4V,false,false,false
7455,4V,false,false,false
7458,4U,true,false,false
7460,4V,false,false,false
7461,4V,false,false,false
7462,4U,true,false,false
7463,4V,false,false,false
7464,4V,false,false,false
7468,4U,true,false,false
7470,4V,false,false,false
7501,4V,false,false,false
7503,4U,true,false,false
7505,4V,false,false,false
7512,4V,false,false,false
7514,4V,false,false,false
7515,4V,false,false,false
7517,4V,false,false,false
7519,4V,false,false,false
7521,4V,false,false,false
7523,4V,false,false,false
7533,4V,false,false,false
7535,4V,false,false,false
7537,4V,false,false,false
7539,4V,false,false,false
7541,4V,false,false,false
7543,4V,false,false,false
7545,4V,false,false,false
7547,4V,false,false,false
7549,4V,false,false,false
7551,4V,false,false,false
7553,4V,false,false,false
7555,4V,false,false,false
7587,2T,false,true,false
7589,2T,false,true,false
7591,2T,false,true,false
7593,2T,false,true,false
7595,1V,false,false,false
7597,1V,false,false,false
7599,2T,false,true,false
7601,2T,false,true,false
7603,2T,false,true,false
7605,2T,false,true,false
7607,2T,false,true,false
7671,4V,false,false,false
7673,4V,false,false,false
7675,4V,false,false,false
7677,4V,false,false,false
7719,2T,false,true,false
7721,2T,false,true,false
7723,2T,false,true,false
7725,2T,false,true,false
8101,4U,true,false,false
8103,4U,true,false,false
8112,4V,false,false,false
8114,4V,false,false,false
8115,4V,false,false,false
8117,4V,false,false,false
8119,4V,false,false,false
8121,4V,false,false,false
8123,4V,false,false,false
8131,4V,false,false,false
8133,4V,false,false,false
8135,4V,false,false,false
8137,4V,false,false,false
8139,4V,false,false,false
8141,4V,false,false,false
8143,4V,false,false,false
8145,4V,false,false,false
8147,4V,false,false,false
8149,4V,false,false,false
8151,4V,false,false,false
8153,4V,false,false,false
8293,1I,false,false,false
8295,2I,false,false,false
8297,1I,false,false,false
8299,2I,false,false,false
8301,1I,false,false,false
8303,2I,false,false,false
8305,1I,false,false,false
8307,2I,false,false,false
8309,1I,false,false,false
8311,2I,false,false,false
8313,1I,false,false,false
8315,1I,false,false,false
8317,1I,false,false,false
8319,1I,false,false,false
8321,1I,false,false,false
8323,2I,false,false,false
8325,1I,false,false,false
8327,FETCH_ERROR,false,false,unknown
8329,1I,false,false,false
8402,4U,true,false,false
8404,4V,false,false,false
8406,4V,false,false,false
8408,4U,true,false,false
8410,4V,false,false,false
8412,4U,true,false,false
8414,4V,false,false,false
8425,4V,false,false,false
8426,4U,true,false,false
8427,4U,true,false,false
8428,4V,false,false,false
8430,4V,false,false,false
8431,3V,false,false,false
8432,CI,false,false,false
8433,CI,false,false,false
8434,CI,false,false,false
8435,CI,false,false,false
8436,CI,false,false,false
8437,CI,false,false,false
8438,CI,false,false,false
8439,CI,false,false,false
8440,CI,false,false,false
8441,CI,false,false,false
8442,CI,false,false,false
8443,CI,false,false,false
8444,CI,false,false,false
8445,CI,false,false,false
8446,CI,false,false,false
8447,CI,false,false,false
8448,4V,false,false,false
8449,4V,false,false,false
8450,4U,true,false,false
8452,4V,false,false,false
8453,4V,false,false,false
8454,4U,true,false,false
