cabin_number,category_code,is_virtual_balcony,is_promenade_view,is_misclassified
1101,4V,false,false,false
1103,4V,false,false,false
1105,4V,false,false,false
1113,4V,false,false,false
1115,4V,false,false,false
1117,4V,false,false,false
1119,4V,false,false,false
1151,4V,false,false,false
1155,4V,false,false,false
1157,4V,false,false,false
1159,4V,false,false,false
1161,4V,false,false,false
1165,4V,false,false,false
1167,4V,false,false,false
1169,4V,false,false,false
1233,4U,true,false,false
1235,4U,true,false,false
1275,4U,true,false,false
1277,4U,true,false,false
1279,4U,true,false,false
1281,4U,true,false,false
1283,4U,true,false,false
1285,4U,true,false,false
1287,4U,true,false,false
1289,4U,true,false,false
1301,4U,true,false,false
1305,4U,true,false,false
1337,4U,true,false,false
1339,4U,true,false,false
1341,4U,true,false,false
1343,4U,true,false,false
1345,4U,true,false,false
1347,4U,true,false,false
1349,4U,true,false,false
1351,4U,true,false,false
1353,4U,true,false,false
1355,4U,true,false,false
1357,4U,true,false,false
1371,3V,false,false,false
1373,3V,false,false,false
1375,3V,false,false,false
1377,3V,false,false,false
1531,4U,true,false,false
1533,3V,false,false,false
1535,4U,true,false,false
1575,4U,true,false,false
1577,4U,true,false,false
1579,4U,true,false,false
1581,4U,true,false,false
1583,4U,true,false,false
1585,4U,true,false,false
1587,4U,true,false,false
1589,4U,true,false,false
1601,4U,true,false,false
1603,4U,true,false,false
1605,4U,true,false,false
1637,4U,true,false,false
1639,4U,true,false,false
1641,4U,true,false,false
1643,4U,true,false,false
1645,4U,true,false,false
1647,4U,true,false,false
1649,4U,true,false,false
1651,4U,true,false,false
1653,4U,true,false,false
1655,4U,true,false,false
1657,4U,true,false,false
1671,3V,false,false,false
1673,3V,false,false,false
1675,3V,false,false,false
1677,3V,false,false,false
1801,4V,false,false,false
1803,4V,false,false,false
1805,4V,false,false,false
1807,4V,false,false,false
1809,4V,false,false,false
1811,4V,false,false,false
1813,4V,false,false,false
1815,4V,false,false,false
1817,4V,false,false,false
1819,4V,false,false,false
1821,4V,false,false,false
1823,4V,false,false,false
1825,4V,false,false,false
1827,4V,false,false,false
1829,4V,false,false,false
1851,4V,false,false,false
1853,4V,false,false,false
1855,4V,false,false,false
1857,4V,false,false,false
1859,4V,false,false,false
1861,4V,false,false,false
3001,6V,false,false,true
3003,6V,false,false,true
3005,6V,false,false,true
3007,6V,false,false,true
3009,6V,false,false,true
3011,6V,false,false,true
3013,6V,false,false,true
3015,6V,false,false,true
3017,6V,false,false,true
3019,6V,false,false,true
3021,6V,false,false,true
3023,6V,false,false,true
3025,6V,false,false,true
3027,6V,false,false,true
3029,6V,false,false,true
