cabin_number,category_code,is_virtual_balcony,is_promenade_view,is_misclassified
3229,4V,false,false,false
3231,2V,false,false,false
3233,2V,false,false,false
3235,2V,false,false,false
3237,4V,false,false,false
3239,4V,false,false,false
3241,4V,false,false,false
3243,4V,false,false,false
3245,4V,false,false,false
3247,4V,false,false,false
3249,4V,false,false,false
3251,4V,false,false,false
3253,4V,false,false,false
3255,4V,false,false,false
3257,4V,false,false,false
3259,4V,false,false,false
3261,4V,false,false,false
3627,4V,false,false,false
3629,4V,false,false,false
3631,4V,false,false,false
3633,4V,false,false,false
3635,4V,false,false,false
3637,4V,false,false,false
3639,4V,false,false,false
3641,4V,false,false,false
3643,4V,false,false,false
3645,4V,false,false,false
3647,4V,false,false,false
3649,4V,false,false,false
3803,4V,false,false,false
3805,4V,false,false,false
3806,1R,false,false,false
3807,4V,false,false,false
3808,4V,false,false,false
3809,4V,false,false,false
3810,4V,false,false,false
3811,4V,false,false,false
3812,4V,false,false,false
3813,4V,false,false,false
3814,4V,false,false,false
3815,4V,false,false,false
3816,4V,false,false,false
3817,4V,false,false,false
3818,4V,false,false,false
3819,4V,false,false,false
3820,4V,false,false,false
3822,4V,false,false,false
3824,4V,false,false,false
3826,4V,false,false,false
6135,4U,true,false,false
6137,4V,false,false,false
6139,4U,true,false,false
6141,4V,false,false,false
6143,4V,false,false,false
6147,4U,true,false,false
6149,4U,true,false,false
6153,4V,false,false,false
6161,1V,false,false,false
6185,1V,false,false,false
6189,1V,false,false,false
6191,2V,false,false,false
6193,2V,false,false,false
6277,4V,false,false,false
6535,4V,false,false,false
6537,4U,true,false,false
6539,4V,false,false,false
6541,4U,true,false,false
6543,4V,false,false,false
6545,4U,true,false,false
6547,4V,false,false,false
6549,4U,true,false,false
6551,4V,false,false,false
6553,4U,true,false,false
6585,2V,false,false,false
6587,2V,false,false,false
6589,2V,false,false,false
6591,2V,false,false,false
6593,2V,false,false,false
6595,2V,false,false,false
6597,2V,false,false,false
6599,2V,false,false,false
6601,2V,false,false,false
6603,2V,false,false,false
6605,2V,false,false,false
6677,4V,false,false,false
7101,4U,true,false,false
