slug,port_name,country,type,url
Aalborg,Aalborg,Denmark,ocean,https://www.whatsinport.com/Aalborg.htm
Aasiaat-Egedesminde,Aasiaat Egedesminde,Greenland,ocean,https://www.whatsinport.com/Aasiaat-Egedesminde.htm
Abashiri,Abashiri,Japan,ocean,https://www.whatsinport.com/Abashiri.htm
Aberdeen-Scotland,Aberdeen Scotland,United Kingdom,ocean,https://www.whatsinport.com/Aberdeen-Scotland.htm
Abidjan,Abidjan,Ivory Coast,ocean,https://www.whatsinport.com/Abidjan.htm
Abu-Dhabi,Abu Dhabi,United Arab Emirates,ocean,https://www.whatsinport.com/Abu-Dhabi.htm
Aburatsu,Aburatsu,Japan,ocean,https://www.whatsinport.com/Aburatsu.htm
Abydos-eg,Abydos eg,Egypt,river,https://www.whatsinport.com/Abydos-eg.htm
Acajutla,Acajutla,El Salvador,ocean,https://www.whatsinport.com/Acajutla.htm
Acapulco,Acapulco,Mexico,ocean,https://www.whatsinport.com/Acapulco.htm
Adelaide,Adelaide,Australia,ocean,https://www.whatsinport.com/Adelaide.htm
Aeroskobing,Aeroskobing,Denmark,ocean,https://www.whatsinport.com/Aeroskobing.htm
Agadir,Agadir,Morocco,ocean,https://www.whatsinport.com/Agadir.htm
Agatti-Lakshadweep,Agatti Lakshadweep,India,ocean,https://www.whatsinport.com/Agatti-Lakshadweep.htm
Agios-Nikolaos-Crete,Agios Nikolaos Crete,Greece,ocean,https://www.whatsinport.com/Agios-Nikolaos-Crete.htm
Ain-Soukhna,Ain Soukhna,Egypt,ocean,https://www.whatsinport.com/Ain-Soukhna.htm
Airlie-Beach,Airlie Beach,Australia,ocean,https://www.whatsinport.com/Airlie-Beach.htm
Aitcho-Islands,Aitcho Islands,Antarctica,ocean,https://www.whatsinport.com/Aitcho-Islands.htm
Aitutaki,Aitutaki,Cook Islands,ocean,https://www.whatsinport.com/Aitutaki.htm
Aix-en-Provence-fr,Aix en Provence fr,France,river,https://www.whatsinport.com/Aix-en-Provence-fr.htm
Ajaccio-Corsica,Ajaccio Corsica,France,ocean,https://www.whatsinport.com/Ajaccio-Corsica.htm
Akaroa,Akaroa,New Zealand,ocean,https://www.whatsinport.com/Akaroa.htm
Akita,Akita,Japan,ocean,https://www.whatsinport.com/Akita.htm
Akpatok-Island,Akpatok Island,Canada,ocean,https://www.whatsinport.com/Akpatok-Island.htm
Akrafjord,Akrafjord,Norway,ocean,https://www.whatsinport.com/Akrafjord.htm
Akureyri,Akureyri,Iceland,ocean,https://www.whatsinport.com/Akureyri.htm
Al-Khoms,Al Khoms,Libya,ocean,https://www.whatsinport.com/Al-Khoms.htm
Al-Minya-eg,Al Minya eg,Egypt,river,https://www.whatsinport.com/Al-Minya-eg.htm
Al-Wajh,Al Wajh,Saudi Arabia,ocean,https://www.whatsinport.com/Al-Wajh.htm
Alanya,Alanya,Turkey,ocean,https://www.whatsinport.com/Alanya.htm
Albany,Albany,Australia,ocean,https://www.whatsinport.com/Albany.htm
Albany-us,Albany us,USA,river,https://www.whatsinport.com/Albany-us.htm
Alcudia,Alcudia,Spain,ocean,https://www.whatsinport.com/Alcudia.htm
Aldabra,Aldabra,Seychelles,ocean,https://www.whatsinport.com/Aldabra.htm
Alert-Bay-BC,Alert Bay BC,Canada,ocean,https://www.whatsinport.com/Alert-Bay-BC.htm
Alesund,Alesund,Norway,ocean,https://www.whatsinport.com/Alesund.htm
Alexandria,Alexandria,Egypt,ocean,https://www.whatsinport.com/Alexandria.htm
Alghero-Sardinia,Alghero Sardinia,Italy,ocean,https://www.whatsinport.com/Alghero-Sardinia.htm
Algiers,Algiers,Algeria,ocean,https://www.whatsinport.com/Algiers.htm
Alicante,Alicante,Spain,ocean,https://www.whatsinport.com/Alicante.htm
Aljmas-hr,Aljmas hr,Croatia,river,https://www.whatsinport.com/Aljmas-hr.htm
Alken-de,Alken de,Germany,river,https://www.whatsinport.com/Alken-de.htm
Alkmaar-nl,Alkmaar nl,Netherlands,river,https://www.whatsinport.com/Alkmaar-nl.htm
Almeria,Almeria,Spain,ocean,https://www.whatsinport.com/Almeria.htm
Alofi,Alofi,Niue,ocean,https://www.whatsinport.com/Alofi.htm
Alotau-Papoea,Alotau Papoea,Papua New Guinea,ocean,https://www.whatsinport.com/Alotau-Papoea.htm
Alta,Alta,Norway,ocean,https://www.whatsinport.com/Alta.htm
Alter-do-Chao,Alter do Chao,Brazil,ocean,https://www.whatsinport.com/Alter-do-Chao.htm
Alton_IL-us,Alton IL us,USA,river,https://www.whatsinport.com/Alton_IL-us.htm
Amalfi,Amalfi,Italy,ocean,https://www.whatsinport.com/Amalfi.htm
Amalia-Glacier-Passage,Amalia Glacier Passage,Chile,ocean,https://www.whatsinport.com/Amalia-Glacier-Passage.htm
Amami,Amami,Japan,ocean,https://www.whatsinport.com/Amami.htm
Amarna-eg,Amarna eg,Egypt,river,https://www.whatsinport.com/Amarna-eg.htm
Amasra,Amasra,Turkey,ocean,https://www.whatsinport.com/Amasra.htm
Amber-Cove,Amber Cove,Dominican Republic,ocean,https://www.whatsinport.com/Amber-Cove.htm
Ambon,Ambon,Indonesia,ocean,https://www.whatsinport.com/Ambon.htm
Ammassalik,Ammassalik,Greenland,ocean,https://www.whatsinport.com/Ammassalik.htm
Amorgos,Amorgos,Greece,ocean,https://www.whatsinport.com/Amorgos.htm
Amsterdam,Amsterdam,Netherlands,ocean,https://www.whatsinport.com/Amsterdam.htm
Amsterdam-nl,Amsterdam nl,Netherlands,river,https://www.whatsinport.com/Amsterdam-nl.htm
Amsterdamoya,Amsterdamoya,Svalbard,ocean,https://www.whatsinport.com/Amsterdamoya.htm
Anakena-Beach,Anakena Beach,Easter Island,ocean,https://www.whatsinport.com/Anakena-Beach.htm
Anchorage-Whittier-AK,Anchorage Whittier AK,Alaska,ocean,https://www.whatsinport.com/Anchorage-Whittier-AK.htm
Ancona,Ancona,Italy,ocean,https://www.whatsinport.com/Ancona.htm
Ancud,Ancud,Chile,ocean,https://www.whatsinport.com/Ancud.htm
Andalsnes,Andalsnes,Norway,ocean,https://www.whatsinport.com/Andalsnes.htm
Andernach-de,Andernach de,Germany,river,https://www.whatsinport.com/Andernach-de.htm
Andros-Island,Andros Island,Bahamas,ocean,https://www.whatsinport.com/Andros-Island.htm
Anegada,Anegada,British Virgin Islands,ocean,https://www.whatsinport.com/Anegada.htm
Angra-Dos-Reis,Angra Dos Reis,Brazil,ocean,https://www.whatsinport.com/Angra-Dos-Reis.htm
Anguilla,Anguilla,Anguilla,ocean,https://www.whatsinport.com/Anguilla.htm
Antalya,Antalya,Turkey,ocean,https://www.whatsinport.com/Antalya.htm
Antibes,Antibes,France,ocean,https://www.whatsinport.com/Antibes.htm
Antofagasta,Antofagasta,Chile,ocean,https://www.whatsinport.com/Antofagasta.htm
Antwerp,Antwerp,Belgium,ocean,https://www.whatsinport.com/Antwerp.htm
Anzac-Cove,Anzac Cove,Turkey,ocean,https://www.whatsinport.com/Anzac-Cove.htm
Aomori,Aomori,Japan,ocean,https://www.whatsinport.com/Aomori.htm
Apia-Samoa-i-Sisifo,Apia Samoa i Sisifo,Samoa,ocean,https://www.whatsinport.com/Apia-Samoa-i-Sisifo.htm
Aqaba,Aqaba,Jordan,ocean,https://www.whatsinport.com/Aqaba.htm
Arendal,Arendal,Norway,ocean,https://www.whatsinport.com/Arendal.htm
Argostoli-Kefalonia,Argostoli Kefalonia,Greece,ocean,https://www.whatsinport.com/Argostoli-Kefalonia.htm
Arhus,Arhus,Denmark,ocean,https://www.whatsinport.com/Arhus.htm
Arica,Arica,Chile,ocean,https://www.whatsinport.com/Arica.htm
Arles-fr,Arles fr,France,river,https://www.whatsinport.com/Arles-fr.htm
Armacao-dos-Buzios,Armacao dos Buzios,Brazil,ocean,https://www.whatsinport.com/Armacao-dos-Buzios.htm
Arnhem-nl,Arnhem nl,Netherlands,river,https://www.whatsinport.com/Arnhem-nl.htm
Arraial-do-Cabo,Arraial do Cabo,Brazil,ocean,https://www.whatsinport.com/Arraial-do-Cabo.htm
Arrecife-Lanzarote,Arrecife Lanzarote,Canary Islands,ocean,https://www.whatsinport.com/Arrecife-Lanzarote.htm
Arromanches-les-Bains-fr,Arromanches les Bains fr,France,river,https://www.whatsinport.com/Arromanches-les-Bains-fr.htm
Aruba,Aruba,Aruba,ocean,https://www.whatsinport.com/Aruba.htm
Aschach_an_der_Donau-at,Aschach an der Donau at,Austria,river,https://www.whatsinport.com/Aschach_an_der_Donau-at.htm
Aschaffenburg-de,Aschaffenburg de,Germany,river,https://www.whatsinport.com/Aschaffenburg-de.htm
Ashdod,Ashdod,Israel,ocean,https://www.whatsinport.com/Ashdod.htm
Astoria-Oregon,Astoria Oregon,USA,ocean,https://www.whatsinport.com/Astoria-Oregon.htm
Aswan-eg,Aswan eg,Egypt,river,https://www.whatsinport.com/Aswan-eg.htm
Attu-Aleutian-Islands,Attu Aleutian Islands,Alaska,ocean,https://www.whatsinport.com/Attu-Aleutian-Islands.htm
Atuona-Hiva-Oa-Marquesa-Islands,Atuona Hiva Oa Marquesa Islands,French Polynesia,ocean,https://www.whatsinport.com/Atuona-Hiva-Oa-Marquesa-Islands.htm
Auckland,Auckland,New Zealand,ocean,https://www.whatsinport.com/Auckland.htm
Auckland-Island,Auckland Island,New Zealand,ocean,https://www.whatsinport.com/Auckland-Island.htm
Augusta-Bay,Augusta Bay,Svalbard,ocean,https://www.whatsinport.com/Augusta-Bay.htm
Avarua-Rarotonga,Avarua Rarotonga,Cook Islands,ocean,https://www.whatsinport.com/Avarua-Rarotonga.htm
Aveiro,Aveiro,Portugal,ocean,https://www.whatsinport.com/Aveiro.htm
Avignon-fr,Avignon fr,France,river,https://www.whatsinport.com/Avignon-fr.htm
Aviles,Aviles,Spain,ocean,https://www.whatsinport.com/Aviles.htm
Ayerfjord,Ayerfjord,Svalbard,ocean,https://www.whatsinport.com/Ayerfjord.htm
Ayia-Napa,Ayia Napa,Cyprus,ocean,https://www.whatsinport.com/Ayia-Napa.htm
Ayr-Scotland,Ayr Scotland,United Kingdom,ocean,https://www.whatsinport.com/Ayr-Scotland.htm
Bad_Breisig-de,Bad Breisig de,Germany,river,https://www.whatsinport.com/Bad_Breisig-de.htm
Bad_Schandau-de,Bad Schandau de,Germany,river,https://www.whatsinport.com/Bad_Schandau-de.htm
Baddeck-Cape-Breton-Island,Baddeck Cape Breton Island,Canada,ocean,https://www.whatsinport.com/Baddeck-Cape-Breton-Island.htm
Baden-Baden-de,Baden Baden de,Germany,river,https://www.whatsinport.com/Baden-Baden-de.htm
Bahia-Culebra,Bahia Culebra,Costa Rica,ocean,https://www.whatsinport.com/Bahia-Culebra.htm
Bahia-drake,Bahia drake,Costa Rica,ocean,https://www.whatsinport.com/Bahia-drake.htm
Bahrain,Bahrain,Bahrain,ocean,https://www.whatsinport.com/Bahrain.htm
Baie-Comeau,Baie Comeau,Canada,ocean,https://www.whatsinport.com/Baie-Comeau.htm
Balestrand,Balestrand,Norway,ocean,https://www.whatsinport.com/Balestrand.htm
Bali,Bali,Indonesia,ocean,https://www.whatsinport.com/Bali.htm
Baltimore,Baltimore,USA,ocean,https://www.whatsinport.com/Baltimore.htm
Bamberg-de,Bamberg de,Germany,river,https://www.whatsinport.com/Bamberg-de.htm
Bandanaira-Bandar-Besar,Bandanaira Bandar Besar,Indonesia,ocean,https://www.whatsinport.com/Bandanaira-Bandar-Besar.htm
Bandar-Abbas,Bandar Abbas,Iran,ocean,https://www.whatsinport.com/Bandar-Abbas.htm
Bandar-Seri-Begawan-Brunei,Bandar Seri Begawan Brunei,Brunei,ocean,https://www.whatsinport.com/Bandar-Seri-Begawan-Brunei.htm
Bandol,Bandol,France,ocean,https://www.whatsinport.com/Bandol.htm
Bangaram-Lakshadweep,Bangaram Lakshadweep,India,ocean,https://www.whatsinport.com/Bangaram-Lakshadweep.htm
Bangkok,Bangkok,Thailand,ocean,https://www.whatsinport.com/Bangkok.htm
Banjul,Banjul,Gambia,ocean,https://www.whatsinport.com/Banjul.htm
Bantry,Bantry,Ireland,ocean,https://www.whatsinport.com/Bantry.htm
Bar,Bar,Montenegro,ocean,https://www.whatsinport.com/Bar.htm
Bar-Harbour,Bar Harbour,USA,ocean,https://www.whatsinport.com/Bar-Harbour.htm
Barbuda,Barbuda,Antigua,ocean,https://www.whatsinport.com/Barbuda.htm
Barca_dAlva-pt,Barca dAlva pt,Portugal,river,https://www.whatsinport.com/Barca_dAlva-pt.htm
Barcelona,Barcelona,Spain,ocean,https://www.whatsinport.com/Barcelona.htm
Barentsburg,Barentsburg,Svalbard,ocean,https://www.whatsinport.com/Barentsburg.htm
Bari,Bari,Italy,ocean,https://www.whatsinport.com/Bari.htm
Barren-Island,Barren Island,Falkland Islands,ocean,https://www.whatsinport.com/Barren-Island.htm
Barrow-AK,Barrow AK,Alaska,ocean,https://www.whatsinport.com/Barrow-AK.htm
Basaruto-Island,Basaruto Island,Mozambique,ocean,https://www.whatsinport.com/Basaruto-Island.htm
Basel-ch,Basel ch,Switzerland,river,https://www.whatsinport.com/Basel-ch.htm
Basseterre,Basseterre,Saint Kitts and Nevis,ocean,https://www.whatsinport.com/Basseterre.htm
Bastia-Corsica,Bastia Corsica,France,ocean,https://www.whatsinport.com/Bastia-Corsica.htm
Batina-hr,Batina hr,Croatia,river,https://www.whatsinport.com/Batina-hr.htm
Baton_Rouge-us,Baton Rouge us,USA,river,https://www.whatsinport.com/Baton_Rouge-us.htm
Batumi,Batumi,Georgia,ocean,https://www.whatsinport.com/Batumi.htm
Baubau,Baubau,Indonesia,ocean,https://www.whatsinport.com/Baubau.htm
Bay-of-Islands,Bay of Islands,New Zealand,ocean,https://www.whatsinport.com/Bay-of-Islands.htm
Bear-Island,Bear Island,Svalbard,ocean,https://www.whatsinport.com/Bear-Island.htm
Beaune-fr,Beaune fr,France,river,https://www.whatsinport.com/Beaune-fr.htm
Beechey-Island-Barrow-Strait,Beechey Island Barrow Strait,Canada,ocean,https://www.whatsinport.com/Beechey-Island-Barrow-Strait.htm
Beilstein-Mosel-de,Beilstein Mosel de,Germany,river,https://www.whatsinport.com/Beilstein-Mosel-de.htm
Beirut,Beirut,Lebanon,ocean,https://www.whatsinport.com/Beirut.htm
Belawan-Sumatra,Belawan Sumatra,Indonesia,ocean,https://www.whatsinport.com/Belawan-Sumatra.htm
Belem,Belem,Brazil,ocean,https://www.whatsinport.com/Belem.htm
Belfast,Belfast,Ireland,ocean,https://www.whatsinport.com/Belfast.htm
Belgrade-rs,Belgrade rs,Serbia,river,https://www.whatsinport.com/Belgrade-rs.htm
Belize,Belize,Belize,ocean,https://www.whatsinport.com/Belize.htm
